2018 rank, City, State, 2018 Estimate, 2010 Census, Change(%), 2016 land area(sq mi), 2016 land area(sq km), 2016 population density(sq mi), 2016 population density(sq km), location, Male(%), Female(%), Median Age (yrs), Median Household income ($), Median Household value ($) 
1,New York City,New York,8398748,8175133,+2.74,301.5,780.9,28317,10933,40.6635°N 73.9387°W,47.7,52.3,36.2,58856,569700
2,Los Angeles,California,3990456,3792621,+5.22,468.7,1213.9,8484,3276,34.0194°N 118.4108°W,49.3,50.7,35.6,54432,593500
3,Chicago,Illinois,2705994,2695598,+0.39,227.3,588.7,11900,4600,41.8376°N 87.6818°W,48.5,51.5,34.4,53006,243900
4,Houston,Texas,2325502,2100263,+10.72,637.5,1651.1,3613,1395,29.7866°N 95.3909°W,50.0,50.0,33.0,47793,163700
5,Phoenix,Arizona,1660272,1445632,+14.85,517.6,1340.6,3120,1200,33.5722°N 112.0901°W,49.6,50.4,33.4,52062,213300
6,Philadelphia,Pennsylvania,1584138,1526006,+3.81,134.2,347.6,11683,4511,40.0094°N 75.1333°W,47.4,52.6,34.1,41449,154000
7,San Antonio, Texas,1532233,1327407,+15.43,461.0,1194.0,3238,1250,29.4724°N 98.5251°W,49.5,50.5,33.5,49268,133900
8,San Diego, California,1425976,1307402,+9.07,325.2,842.3,4325,1670,32.8153°N 117.1350°W,50.6,49.4,34.6,71481,567400
9,Dallas, Texas,1345047,1197816,+12.29,340.9,882.9,3866,1493,32.7933°N 96.7665°W,49.7,50.3,32.7,47243,157100
10,San Jose, California,1030119,945942,+8.90,177.5,459.7,5777,2231,37.2967°N 121.8189°W,50.8,49.2,36.3,101940,802000
11,Austin, Texas,964254,790390,+22.00,312.7,809.9,3031,1170,30.3039°N 97.7544°W,50.7,49.3,32.7,66697,308500
12,Jacksonville,Florida,903889,821784,+9.99,747.4,1935.8,1178,455,30.3369°N 81.6616°W,48.5,51.5,35.7,51298,157800
13,Fort Worth, Texas,895008,741206,+20.75,342.9,888.1,2491,962,32.7815°N 97.3467°W,49.3,50.7,32.4,56428,151000
14,Columbus,Ohio,892533,787033,+13.40,218.5,565.9,3936,1520,39.9852°N 82.9848°W,48.7,51.3,32.3,49602,140700
15,San Francisco, California,883305,805235,+9.70,46.9,121.5,18569,7170,37.7272°N 123.0322°W,51.0,49.0,38.0,103801,over 1000000
16,Charlotte,North Carolina,872498,731424,+19.29,305.4,791.0,2757,1064,35.2078°N 80.8310°W,47.9,52.1,34.0,61017,201500
17,Indianapolis,Indiana,867125,820445,+5.69,361.5,936.3,2366,914,39.7767°N 86.1459°W,48.1,51.9,34.1,44615,128200
18,Seattle,Washington,744955,608660,+22.39,83.8,217.0,8405,3245,47.6205°N 122.3509°W,50.3,49.7,35.5,83476,606200
19,Denver,Colorado,716492,600158,+19.38,153.3,397.0,4521,1746,39.7619°N 104.8811°W,50.1,49.9,34.4,61105,360900
20,Washington D.C.,District of Columbia,702455,601723,+16.74,61.1,158.2,11148,4304,38.9041°N 77.0172°W,47.5,52.5,33.9,75506,576100
21,Boston,Massachusetts,694583,617594,+12.47,48.3,125.1,13938,5381,42.3320°N 71.0202°W,48.0,52.0,32.1,63621,495400
22,El Paso, Texas,682669,649121,+5.17,256.8,665.1,2660,1030,31.8484°N 106.4270°W,48.9,51.1,32.6,43200,125300
23,Detroit,Michigan,672662,713777,-5.76,138.8,359.5,4847,1871,42.3830°N 83.1022°W,47.7,52.3,34.0,28099,43500
24,Nashville,Tennessee,669053,601222,+11.28,475.9,1232.6,1388,536,36.1718°N 86.7850°W,48.1,51.9,34.0,54310,210600
25,Portland,Oregon,653115,583776,+11.88,133.5,345.8,4793,1851,45.5370°N 122.6500°W,49.5,50.5,36.7,62127,395100
26,Memphis, Tennessee,650618,646889,+0.58,317.4,822.1,2056,794,35.1028°N 89.9774°W,47.5,52.5,33.8,38826,96800
27,Oklahoma City,Oklahoma,649021,579999,+11.90,606.3,1570.3,1053,407,35.4671°N 97.5137°W,48.9,51.1,34.1,52915,157100
28,Las Vegas,Nevada,644644,583756,+10.43,134.4,348.1,4709,1818,36.2292°N 115.2601°W,49.9,50.1,38.1,51115,228300
29,Louisville,Kentucky,620118,597337,+3.81,263.5,682.5,2339,903,38.1654°N 85.6474°W,47.3,52.7,35.8,38005,133656
30,Baltimore,Maryland,602495,620961,-2.97,80.9,209.5,7598,2934,39.3000°N 76.6105°W,47.0,53.0,34.9,47350,153500
31,Milwaukee,Wisconsin,592025,594833,-0.47,96.2,249.2,6186,2388,43.0633°N 87.9667°W,48.1,51.9,31.0,38097,114700
32,Albuquerque,New Mexico,560218,545852,+2.63,188.2,487.4,2972,1147,35.1056°N 106.6474°W,48.8,51.2,36.5,50522,191600
33,Tucson, Arizona,545975,520116,+4.97,230.8,597.8,2299,888,32.1531°N 110.8706°W,49.5,50.5,33.4,40021,144000
34,Fresno, California,530093,494665,+7.16,114.4,296.3,4563,1762,36.7836°N 119.7934°W,48.6,51.4,30.9,44905,227500
35,Mesa, Arizona,508958,439041,+15.92,137.9,357.2,3514,1357,33.4019°N 111.7174°W,49.2,50.8,35.7,52393,209000
36,Sacramento, California,508529,466488,+9.01,97.9,253.6,5059,1953,38.5666°N 121.4686°W,49.5,50.5,34.7,55187,306900
37,Atlanta,Georgia,498044,420003,+18.58,133.5,345.8,3539,1366,33.7629°N 84.4227°W,49.7,50.3,33.0,53843,262600
38,Kansas City,Missouri,491918,459787,+6.99,315.0,815.8,1528,590,39.1251°N 94.5510°W,48.8,51.2,35.3,51235,146300
39,Colorado Springs, Colorado,472688,416427,+13.51,195.6,506.6,2378,918,38.8673°N 104.7607°W,50.4,49.6,34.6,60308,243600
40,Miami, Florida,470914,399457,+17.89,36.0,93.2,12599,4865,25.7752°N 80.2086°W,49.2,50.8,40.6,34901,277700
41,Raleigh, North Carolina,469298,403892,+16.19,145.1,375.8,3163,1221,35.8306°N 78.6418°W,47.7,52.3,33.8,64456,242500
42,Omaha,Nebraska,468262,408958,+14.50,133.2,345.0,3356,1296,41.2644°N 96.0451°W,49.3,50.7,34.7,52672,149900
43,Long Beach, California,467354,462257,+1.10,50.3,130.3,9347,3609,33.8092°N 118.1553°W,49.1,50.9,33.6,60075,518900
44,Virginia Beach,Virginia,450189,437994,+2.78,244.7,633.8,1850,710,36.7800°N 76.0252°W,49.1,50.9,35.8,71117,271400
45,Oakland, California,429082,390724,+9.82,55.9,144.8,7514,2901,37.7698°N 122.2257°W,49.3,50.7,36.5,68060,649700
46,Minneapolis,Minnesota,425403,382578,+11.19,54.0,139.9,7660,2960,44.9633°N 93.2683°W,51.6,48.4,32.0,56255,235200
47,Tulsa, Oklahoma,400669,391906,+2.24,196.8,509.7,2048,791,36.1279°N 95.9023°W,48.6,51.4,34.5,43134,130100
48,Arlington, Texas,398112,365438,+8.94,95.8,248.1,4100,1600,32.7007°N 97.1247°W,49.2,50.8,32.4,54272,154900
49,Tampa, Florida,392890,335709,+17.03,113.4,293.7,3326,1284,27.9701°N 82.4797°W,47.8,52.2,36.2,50405,216100
50,New Orleans,Louisiana,391006,343829,+13.72,169.4,438.7,2311,892,30.0534°N 89.9345°W,47.8,52.2,35.7,38681,219700
51,Wichita,Kansas,389255,382368,+1.80,160.4,415.4,2431,939,37.6907°N 97.3459°W,49.1,50.9,34.7,49202,123500
52,Cleveland, Ohio,383793,396815,-3.28,77.7,201.2,4965,1917,41.4785°N 81.6794°W,49.1,50.9,36.4,27551,66800
53,Bakersfield, California,383579,347483,+10.39,148.8,385.4,2529,976,35.3212°N 119.0183°W,49.2,50.8,30.6,59233,236600
54,Aurora, Colorado,374114,325078,+15.08,153.5,397.6,2356,910,39.6880°N 104.6897°W,49.3,50.7,34.2,59467,253400
55,Anaheim, California,352005,336265,+4.68,50.0,129.5,7021,2711,33.8555°N 117.7601°W,47.6,52.4,34.1,64464,548100
56,Honolulu,Hawaii,347397,337256,+3.01,60.5,156.7,5815,2245,21.3243°N 157.8476°W,49.1,50.9,39.7,69964,761358
57,Santa Ana, California,332725,324528,+2.53,27.1,70.2,12333,4762,33.7363°N 117.8830°W,51.2,48.8,31.5,61895,461600
58,Riverside, California,330063,303871,+8.62,81.2,210.3,3999,1544,33.9381°N 117.3932°W,49.6,50.4,31.8,63548,346900
59,Corpus Christi, Texas,326554,305215,+6.99,174.6,452.2,1866,720,27.7543°N 97.1734°W,49.8,50.2,35.1,54344,132400
60,Lexington, Kentucky,323780,295803,+9.46,283.6,734.5,1123,434,38.0407°N 84.4583°W,49.1,50.9,34.4,53178,181200
61,Stockton, California,311178,291707,+6.67,61.7,159.8,4977,1922,37.9763°N 121.3133°W,49.3,50.7,32.5,49271,243700
62,Henderson, Nevada,310390,257729,+20.43,104.7,271.2,2798,1080,36.0097°N 115.0357°W,49.5,50.5,42.6,68191,291100
63,Saint Paul, Minnesota,307695,285068,+7.94,52.0,134.7,5815,2245,44.9489°N 93.1041°W,49.4,50.6,31.7,54085,198500
64,St. Louis, Missouri,302838,319294,-5.15,62.0,160.6,5023,1939,38.6357°N 90.2446°W,48.5,51.5,35.3,40346,125800
65,Cincinnati, Ohio,302605,296943,+1.91,77.4,200.5,3860,1490,39.1402°N 84.5058°W,48.1,51.9,32.2,38539,134100
66,Pittsburgh, Pennsylvania,301048,305704,-1.52,55.4,143.5,5481,2116,40.4398°N 79.9766°W,49.2,50.8,33.5,44707,120800
67,Greensboro, North Carolina,294722,269666,+9.29,128.3,332.3,2237,864,36.0951°N 79.8270°W,46.4,53.6,34.3,45064,152100
68,Anchorage,Alaska,291538,291826,-0.10,1706.6,4420.1,175,68,61.1743°N 149.2843°W,51.3,48.7,33.0,85634,320800
69,Plano, Texas,288061,259841,+10.86,71.7,185.7,3990,1540,33.0508°N 96.7479°W,49.3,50.7,38.1,88398,291100
70,Lincoln, Nebraska,287401,258379,+11.23,92.1,238.5,3044,1175,40.8105°N 96.6803°W,50.0,50.0,32.6,55792,160600
71,Orlando, Florida,285713,238300,+19.90,105.2,272.5,2635,1017,28.4166°N 81.2736°W,49.3,50.7,33.1,46761,224600
72,Irvine, California,282572,212375,+33.05,65.6,169.9,4057,1566,33.6784°N 117.7713°W,48.8,51.2,34.6,97496,806000
73,Newark,New Jersey,282090,277140,+1.79,24.1,62.4,11691,4514,40.7242°N 74.1726°W,48.9,51.1,34.9,31100,235200
74,Toledo, Ohio,274975,287208,-4.26,80.7,209.0,3451,1332,41.6641°N 83.5819°W,48.6,51.4,35.4,35301,79100
75,Durham, North Carolina,274291,228330,+20.13,109.8,284.4,2395,925,35.9811°N 78.9029°W,46.8,53.2,33.3,52208,196100
76,Chula Vista, California,271651,243916,+11.37,49.6,128.5,5387,2080,32.6277°N 117.0152°W,49.6,50.4,37.0,68699,464500
77,Fort Wayne, Indiana,267633,253691,+5.50,110.6,286.5,2391,923,41.0882°N 85.1439°W,48.4,51.6,34.9,45232,108400
78,Jersey City, New Jersey,265549,247597,+7.25,14.8,38.3,17848,6891,40.7114°N 74.0648°W,49.6,50.4,33.7,63227,376300
79,St. Petersburg, Florida,265098,244769,+8.31,61.8,160.1,4223,1631,27.7620°N 82.6441°W,48.1,51.9,42.7,51474,187600
80,Laredo, Texas,261639,236091,+10.82,101.1,261.8,2544,982,27.5604°N 99.4892°W,48.5,51.5,28.2,36195,118400
81,Madison, Wisconsin,258054,233209,+10.65,77.0,199.4,3280,1270,43.0878°N 89.4299°W,49.0,51.0,31.2,61284,236100
82,Chandler, Arizona,257165,236123,+8.91,64.9,168.1,3813,1472,33.2829°N 111.8549°W,49.8,50.2,35.2,75369,275400
83,Buffalo, New York,256304,261310,-1.92,40.4,104.6,6359,2455,42.8925°N 78.8597°W,48.0,52.0,32.8,32883,83500
84,Lubbock, Texas,255885,229573,+11.46,124.6,322.7,2027,783,33.5656°N 101.8867°W,49.9,50.1,29.7,48103,134700
85,Scottsdale, Arizona,255310,217385,+17.45,183.9,476.3,1341,518,33.6843°N 111.8611°W,48.9,51.1,48.5,81381,439300
86,Reno, Nevada,250998,225221,+11.45,107.3,277.9,2286,883,39.5491°N 119.8499°W,50.9,49.1,35.4,51313,304000
87,Glendale, Arizona,250702,226721,+10.58,59.1,153.1,4161,1607,33.5331°N 112.1899°W,49.4,50.6,35.2,51022,200900
88,Gilbert, Arizona,248279,208453,+19.11,68.0,176.1,3487,1346,33.3103°N 111.7431°W,48.5,51.5,33.1,91576,307000
89,Winston–Salem, North Carolina,246328,229617,+7.28,132.5,343.2,1828,706,36.1027°N 80.2610°W,46.8,53.2,36.1,42605,144500
90,North Las Vegas, Nevada,245949,216961,+13.36,98.0,253.8,2436,941,36.2857°N 115.0939°W,49.9,50.1,33.1,55972,192600
91,Norfolk, Virginia,244076,242803,+0.52,53.3,138.0,4599,1776,36.9230°N 76.2446°W,52.1,47.9,30.6,46467,195500
92,Chesapeake, Virginia,242634,222209,+9.19,338.5,876.7,703,271,36.6794°N 76.3018°W,48.8,51.2,36.9,72928,267100
93,Garland, Texas,242507,226876,+6.89,57.0,147.6,4122,1592,32.9098°N 96.6303°W,50.2,49.8,34.0,57063,136700
94,Irving, Texas,242242,216290,+12.00,67.0,173.5,3557,1373,32.8577°N 96.9700°W,49.2,50.8,32.0,61362,158500
95,Hialeah, Florida,238942,224669,+6.35,21.5,55.7,10995,4245,25.8699°N 80.3029°W,46.5,53.5,44.6,30495,203800
96,Fremont, California,237807,214089,+11.08,77.5,200.7,3008,1161,37.4945°N 121.9412°W,49.7,50.3,36.8,122419,877700
97,Boise,Idaho,228790,205671,+11.24,82.1,212.6,2718,1049,43.6002°N 116.2317°W,48.2,51.8,35.3,55199,219200
98,Richmond, Virginia,228783,204214,+12.03,59.8,154.9,3732,1441,37.5314°N 77.4760°W,47.6,52.4,33.4,42373,211400
99,Baton Rouge, Louisiana,221599,229493,-3.44,85.9,222.5,2651,1024,30.4422°N 91.1309°W,47.6,52.4,31.0,38470,166100
100,Spokane, Washington,219190,208916,+4.92,68.7,177.9,3144,1214,47.6669°N 117.4333°W,48.6,51.4,36.2,45676,170900
101,Des Moines,Iowa,216853,203433,+6.60,88.9,230.2,2424,936,41.5726°N 93.6102°W,50.2,49.8,34.5,49203,126100
102,Tacoma, Washington,216279,198397,+9.01,49.7,128.7,4251,1641,47.2522°N 122.4598°W,50.3,49.7,34.5,55996,239100
103,San Bernardino, California,215941,209924,+2.87,61.5,159.3,3516,1358,34.1416°N 117.2936°W,49.1,50.9,28.5,39472,240400
104,Modesto, California,215030,201165,+6.89,43.0,111.4,4934,1905,37.6375°N 121.0030°W,49.7,50.3,34.7,55013,262700
105,Fontana, California,213739,196069,+9.01,43.0,111.4,4876,1883,34.1090°N 117.4629°W,48.2,51.8,32.0,66073,337100
106,Santa Clarita, California,210089,176320,+19.15,52.8,136.8,3446,1331,34.4030°N 118.5042°W,50.2,49.8,39.7,94649,490600
107,Birmingham,Alabama,209880,212237,-1.11,146.1,378.4,1452,561,33.5274°N 86.7990°W,47.1,52.9,36.0,36241,88500
108,Oxnard, California,209877,197899,+6.05,26.9,69.7,7729,2984,34.2023°N 119.2046°W,50.0,50.0,32.3,64279,423800
